DATE	DIY_ASI	COMM_ASI	CEILOMETER
23.01.2026	1	0	2
24.01.2026	1	0	2
25.01.2026	1	0	2
26.01.2026	1	0	2
27.01.2026	1	0	2
28.01.2026	1	0	2
29.01.2026	1	0	2
30.01.2026	1	0	2
31.01.2026	1	0	2
01.02.2026	1	0	0
02.02.2026	1	0	0
03.02.2026	1	0	0
04.02.2026	1	0	0
05.02.2026	1	0	0
06.02.2026	1	0	2
07.02.2026	1	0	2
08.02.2026	1	0	2
09.02.2026	1	0	2
10.02.2026	1	0	2
11.02.2026	1	0	2
12.02.2026	1	0	2
13.02.2026	1	0	2
14.02.2026	1	0	2
15.02.2026	1	0	2
16.02.2026	1	0	2
17.02.2026	1	0	2
18.02.2026	1	0	2
19.02.2026	1	0	2
20.02.2026	1	0	2
21.02.2026	0	0	2
22.02.2026	1	0	2
23.02.2026	1	0	2
24.02.2026	1	0	2
25.02.2026	1	0	2
26.02.2026	1	0	2
27.02.2026	1	0	2
28.02.2026	1	0	2
01.03.2026	1	0	2
02.03.2026	1	0	2
03.03.2026	1	0	2
04.03.2026	1	0	2
05.03.2026	1	0	2
06.03.2026	1	0	2
07.03.2026	1	0	2
08.03.2026	1	0	2
09.03.2026	1	0	2
10.03.2026	1	0	2
11.03.2026	1	0	2
12.03.2026	1	0	2
13.03.2026	1	0	2
14.03.2026	1	0	2
15.03.2026	1	0	0
16.03.2026	1	0	2
17.03.2026	1	0	2
18.03.2026	1	0	2
19.03.2026	1	0	2
20.03.2026	1	0	2
21.03.2026	2	0	2
22.03.2026	2	0	2
23.03.2026	2	0	2
24.03.2026	2	0	2
25.03.2026	2	0	0
26.03.2026	2	0	0
27.03.2026	2	0	0
28.03.2026	2	0	2
29.03.2026	2	0	2
30.03.2026	2	0	2
31.03.2026	2	0	2
01.04.2026	2	0	2
02.04.2026	2	0	2
03.04.2026	2	0	2
04.04.2026	2	0	2
05.04.2026	2	0	2
06.04.2026	2	0	2
07.04.2026	2	0	2
08.04.2026	2	0	2
09.04.2026	2	0	2
10.04.2026	2	0	2
11.04.2026	2	0	2
12.04.2026	2	0	2
13.04.2026	2	0	2
14.04.2026	2	0	2
15.04.2026	2	0	2
16.04.2026	2	0	2
17.04.2026	2	0	2
18.04.2026	2	0	2
19.04.2026	2	0	2
20.04.2026	2	0	2
21.04.2026	2	0	0
22.04.2026	2	0	0
23.04.2026	2	0	0
24.04.2026	2	0	0
25.04.2026	2	0	0
26.04.2026	2	0	0
27.04.2026	2	0	0
28.04.2026	2	0	0
29.04.2026	2	2	0
30.04.2026	2	2	0
01.05.2026	2	2	0
02.05.2026	2	2	0
03.05.2026	2	2	0
04.05.2026	2	2	0
05.05.2026	2	2	0
06.05.2026	2	2	0
07.05.2026	2	2	0
08.05.2026	2	2	0
09.05.2026	2	2	0
10.05.2026	2	2	0
11.05.2026	2	2	0
12.05.2026	2	2	0
13.05.2026	2	2	0
14.05.2026	2	2	0
15.05.2026	2	2	0
16.05.2026	2	2	0
17.05.2026	2	2	0
18.05.2026	2	2	0
19.05.2026	2	2	0
20.05.2026	2	2	0
21.05.2026	2	2	0
22.05.2026	2	2	0
23.05.2026	2	2	0
24.05.2026	2	2	0
25.05.2026	2	2	0
26.05.2026	2	2	0
27.05.2026	2	2	0
28.05.2026	2	2	0
29.05.2026	2	2	0
30.05.2026	2	2	0
31.05.2026	2	2	0
01.06.2026	2	2	0
02.06.2026	2	2	0
03.06.2026	2	2	0
04.06.2026	2	2	0
05.06.2026	2	2	0
06.06.2026	2	2	0
07.06.2026	2	2	0
08.06.2026	2	2	0
09.06.2026	2	2	0
10.06.2026	2	2	0
11.06.2026	1	2	0
12.06.2026	2	2	0
13.06.2026	2	2	0
14.06.2026	2	2	0
15.06.2026	2	2	0
16.06.2026	2	2	0
17.06.2026	2	0	0
18.06.2026	2	0	0
19.06.2026	2	0	0
20.06.2026	2	0	0
21.06.2026	2	0	0
22.06.2026	2	0	0
23.06.2026	2	0	0
24.06.2026	2	0	0
25.06.2026	2	0	0
26.06.2026	2	0	0
27.06.2026	2	0	0
28.06.2026	2	0	0
29.06.2026	2	0	0
30.06.2026	2	0	0
